aaisement	aisement
aaisier	aaiser
aancrer	aancrer
äatine	aatine
abaiier	aboyer
abaissier	abaisser
abandoner	abandonner
abatre	abattre1
abé1	abbé
abeie	abbaye
abelir	abellir
abet	abet
abevrer	abreuver
abisme	abîme
abiter	habiter
abonder	abonder
aborrer	
abregier	abréger
abriver	abriver
accident	accident
aceindre	aceindre
acerer	acérer
acesmer	acesmer
achater	acheter
acheminer	acheminer
acier	acier
acliner	acliner
acoardir	accouardir
acoillir	accueillir
acointable	accointable
acointance	accointance
acointe1	accointe1
acointier	accointer
acoisier	accoiser
acoler	accoler
acompagnier	accompagner
acomplir	accomplir
aconsivre	aconsuivre
açoper	achopper
acopler	accoupler
acor	
acordance	accordance
acorde1	accorde
acorder	accorder
acorer	acorer
acorre	accourir
acoster	accoster
acostumance	accoutumance
acostumeement	accoutumément
acostumer	accoutumer
acoter	accoter
acreanter	acréanter
acroire	accroire
acroistre	accroître
adeser	adeser
adestrer	adextrer
adevancir	
adober	adouber
adoler	adouler
adoner	adonner
adosser	adosser
adoucir	adoucir
adrece	adresse
adrecier	adresser
adroit	adroit
aduré	adurer3
aé	aé
aerdre	aerdre
aeschier	
aesmer	aesmer
afaire	affaire
afaitement	affaitement
afaitier	affaiter
afamer	affamer
afebliier	affaibloyer
afeblir	affaiblir
aferir	afférir
afermer	affermer1
afichier	afficher
afïer	affier1
afit2	
afitier	afiter
afoler1	affoler1
afoler2	affoler2
afonder	affonder1
afrener	afreiner
afubler	affubler
agait	aguet
agaitier	aguetter
agencir	agencir
agenoillier	agenouiller
agnel	agneau
agnelet	agnelet
agreer	agréer
agrever	aggraver1
agu	aigu
aguille	aiguille
aguisier	aiguiser
ahan	ahan
ahaner	ahaner
aidier	aider
äie1	aide1
aigle	aigle
aigue	eau
ainzné	aîné
äir	aïr
air1	air
äirier	aïrer
ais	ais
aise	aise
aigre1	aigre
ail	ail
aissele2	aisselle
aiuele	aïeul
ajorner	ajourner
ajoster	ajouter
