msd_cattex_conv	TL	DMF
PON	-	-
PON	,	,
PONfrt	,	,
PON	;	;
PON	:	:
PONfrt	!	!
PONfrt	?	?
PONfrt	.	.
PONfrt	...	...
APD	.C.	cent
NOMcom	.C.	cent
APD	.I.	un
DET	.I.	un
APD	.II.	deux
APD	.III.	trois
APD	.IV.	quatre
APD	.IX.	neuf
APD	.L.	cinquante
APD	.LX.	soixante
APD	.V.	cinq
APD	.VI.	six
APD	.VII.	sept
APD	.VIII.	huit
APD	.X.	dix
APD	.XII.	douze
APD	.XIII.	treize
APD	.XL.	quarante
APD	.XV.	quinze
APD	.XVI.	seize
APD	.XVII.	dix-sept
APD	.XVIII.	dix-huit
APD	.XX.	vingt
APD	.XXI.	vingt-et-un
APD	.XXV.	vingt-cinq
APD	.XXX.	trente
PON	“	“
PON	”	”
PON	«	«
PON	»	»
PON	(	(
VER	(cliver)	cliver
NOMcom	(reversement)	reversement
PON	)	)
NOMcom	a	a
PRE	a	à
PRE	a.le	à.le
VER	aacier	aacier
VER	aaignier	aagner
VER	aairier	airier
NOMcom	aaisance	aaisance
NOMcom	aaise	aaise
NOMcom	aaisement	aisement
VER	aaisier	aaiser
ADV	aaisier (aaisieement)	aaisiement
VER	aancrer	aancrer
NOMcom	aatie	aatie
VER	aatiier	aatier
NOMcom	äatine	aatine
VER	aatir	aatir
NOMcom	aatison	aatison
VER	abaer	abéer
NOMcom	abai	aboi
NOMcom	abaiement	aboiement
VER	abaiier	aboyer
VER	abaillier	abailler
NOMcom	abaissance	abaissance
NOMcom	abaissement	abaissement
VER	abaissier	abaisser
NOMcom	abandon	abandon
APD	abandoneor	abandonneur
VER	abandoner	abandonner
ADV	abandoner (abandoneement)	abandonnément
VER	abassorer	abasseurer
VER	abastardir	abâtardir
APD	abastoné	abastonné
NOMcom	abatage	abattage
OUT	abataillier	abatailler
NOMcom	abatëiz	abattis
NOMcom	abatement	abattement
VER	abatre	abattre
VER	abaubir	abaubir
NOMcom	abc	abeçoi
NOMcom	abé	abbé
NOMcom	abeance	abéance
VER	abechier	abecquer
NOMcom	abeie	abbaye
NOMcom	abeille	abeille
VER	abelir	abellir
VER	abeneviser	abeneviser
NOMcom	abenge	abenge
VER	abesoignier	abesogner
NOMcom	abesse	abbesse
VER	abestir	abêtir
NOMcom	abet	abet
NOMcom	abeteor	abeteur
VER	abeter	abeter
NOMcom	abevrage	abreuvage
NOMcom	abevrement	abreuvement
NOMcom	abevreoir	abreuvoir
VER	abevrer	abreuver
NOMcom	abilité	habilité
VER	abiliter	habiliter
NOMcom	abillement	habillement
VER	abillier	habiller
NOMcom	abis	abysse
NOMcom	abisme	abîme
NOMcom	abit	habit
NOMcom	abitacion	habitation
NOMcom	abitacle	habitacle
NOMcom	abitant	habitant
NOMcom	abitement	habitement
NOMcom	abiteor	habiteur
VER	abiter	habiter
VER	abitüer	habituer
NOMcom	ablai	ablai
VER	ablaiier	ablayer
VER	ablandir	ablandir
NOMcom	ablatif	ablatif
APD	able	able
NOMcom	able	able
ADV	able (ablement)	ablement
NOMcom	ablée	ablée
VER	ablochier	abloquer
VER	abloqueler	abloqueler
VER	abochier	aboucher
VER	aböeter	abouter
VER	abolir	abolir
NOMcom	abome	abosme
APD	abominable	abominable
NOMcom	abominacion	abomination
VER	abominer	abominer
NOMcom	abondance	abondance
NOMcom	abonde	abonde
APD	abonder	abondant
NOMcom	abonder	abondant
VER	abonder	abonder
ADV	abonder (abondanmen)	abondamment
VER	abondir	abondir
APD	abondos	abondeux
VER	abonir	abonir
NOMcom	abonnage	abonnage
VER	abonner	abonner
VER	aborder	abourder
VER	aboschier	abosquier
VER	abosmer	abosmer
VER	abosmir	abosmir
NOMcom	abot	about
VER	aboter	abouter
VER	abotir	aboutir
VER	abracier	abrasser
NOMcom	abrasement	abrasement
VER	abraser	abraser
NOMcom	abregement	abrégement
VER	abregier	abréger
NOMcom	abrejance	abrégeance
VER	abreteschier	abretechier
VER	abrever	abrévier
NOMcom	abri	abri
VER	abriier	abrier
NOMcom	abrivement	abrivement
VER	abriver	abriver
VER	abrochier	abrochier
VER	abruire	abruire
VER	abscondre	abscondre
NOMcom	absence	absence
APD	absent	absent
NOMcom	absent	absent
NOMcom	absentacion	absentation
VER	absenter	absenter
NOMcom	absenter (absentement)	absentement
NOMcom	absince	absynthe
ADV	absolu (absolüement)	absolument
APD	absolu/assoudre	absolu
NOMcom	absolucion	absolution
APD	absort	absurde
VER	abuisoner	abuissonner
NOMcom	abuissail	abuissail
NOMcom	abuissement	abuschement
VER	abuisser	abuscher
VER	abulleter	abulleter
APD	abus	abus
NOMcom	abus	abus
NOMcom	abusage	abusage
NOMcom	abuseor	abuseur
VER	abuser	abuser
APD	abusif	abusif
NOMcom	abusion	abusion
VER	abuter	abuter
VER	abutiner	abutiner
VER	acanler	achanler
APD	acati	acheteif
NOMcom	accepcion	acception
APD	acceptable	acceptable
ADV	acceptable (acceptablement)	acceptablement
NOMcom	accès	aces
NOMcom	accident	accident
APD	accidentel	accidentel
NOMcom	accion	action
VER	aceindre	aceindre
NOMcom	aceint	aceint
NOMcom	aceinte	aceinte
VER	acener	acener
NOMcom	acense	accense
NOMcom	acensement	accensement
NOMcom	acenseor	accenseur
VER	acenser	ascenser
NOMcom	acensie	acensie
NOMcom	acension	enscension
VER	acensir	accensir
NOMcom	acensissement	accensissement
NOMcom	acent	accent
VER	acenter	accenter
VER	acentüer	accentuer
APD	acerbe	acerbe
APD	acerer	acéré
VER	acerer	acérer
NOMcom	acerëure	acérure
APD	acerin	acérin
NOMcom	acerin	acérin
VER	acertefiier	acertefier
VER	acertener	acertener
VER	acerter	acerter
NOMcom	acesmement	acesmement
VER	acesmer	acesmer
ADV	acesmer (acesmeement)	acesmément
VER	acesser	acesser
APD	acessoire	accessoire
NOMcom	acessoire	accessoire
VER	achaabler	accabler
VER	achacier	achasser
VER	achaillir/achali	achalir
VER	achaitiver	achétiver
VER	achalandé	achalander
VER	achanter	achanter
VER	achariier	acharrier
VER	acharner	acharner
NOMcom	achat	achat
APD	achatable	achetable
NOMcom	achatement	achètement
NOMcom	achateor	acheteur
VER	achater	acheter
NOMcom	ache	ache
VER	acheminer	acheminer
APD	achener	achené
APD	achenir	acheni
VER	achenir	achenir
VER	achevauchier	achevaucher
NOMcom	achevement	achèvement
NOMcom	acheveor	acheveur
VER	achever	achever
VER	achevir	achevir
NOMcom	acide	accide
APD	acidios	accidieux
NOMcom	acie	acie
NOMcom	acier	acier
VER	aclariier	aclaroyer
VER	aclarir	aclarir
VER	aclasser	aclasser
APD	aclin	aclin
NOMcom	aclineoir	aclinoir
VER	acliner	acliner
VER	acliqueter	acliqueter
VER	aclore	aclore
VER	aclosagier	acclosagier
VER	acoarder	accouarder
VER	acoardir	accouardir
NOMcom	acoillance	accueillance
NOMcom	acoillie	accueillie
VER	acoillir	accueudre
APD	acointable	accointable
NOMcom	acointance	accointance
APD	acointe	accointe
NOMcom	acointe	accointe
NOMcom	acointement	accointement
VER	acointier	accointer
NOMcom	acointise	accointise
ADV	acoisier	accoisément
VER	acoisier	accoiser
APD	acolé	accolé
NOMcom	acolee	accolée
VER	acoler	accoler
NOMcom	acolite	acolyte
NOMcom	acomblement	accomblement
VER	acombler	accombler
VER	acomencier	acommencer
NOMcom	acompagnement	accompagnement
VER	acompagnier	accompagner
VER	acomparagier	accomparager
VER	acomparer	accomparer
VER	acomplir	accomplir
APD	acomplissable	accomplissable
NOMcom	acomplissement	accomplissement
NOMcom	acomplisserresse	accomplisseresse
VER	acomuner	acommuner
VER	acomunier	acommunier
VER	aconduire	aconduire
OUT	aconforter	aconforter
VER	aconoistre	aconnoistre
VER	aconseillier	aconseiller
VER	aconsivre	aconsuivre
